City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
34,tolanaro,-25.0319,46.9987,74.12,81,1,4.32,MG,1701299508
35,keflavik,64.0049,-22.5624,37.83,93,100,6.91,IS,1701299509
36,muisne,0.6,-80.0333,76.35,79,99,8.41,EC,1701299509
37,tura,25.5198,90.2201,62.47,83,2,3.49,IN,1701299509
38,kodiak,57.79,-152.4072,36.91,87,100,17.27,US,1701299509
39,edinburgh of the seven seas,-37.0676,-12.3116,54.21,64,52,21.88,SH,1701299510
40,port-aux-francais,-49.35,70.2167,36.25,97,100,43.08,TF,1701299394
41,linfen,36.0889,111.5189,29.73,23,51,1.3,CN,1701299510
42,la'ie,21.6477,-157.9253,72.1,90,64,5.01,US,1701299510
43,talnakh,69.4865,88.3972,-11.54,99,91,3.33,RU,1701299511
44,blackmans bay,-43.0167,147.3167,56.73,87,100,1.01,AU,1701299511
45,avarua,-21.2078,-159.775,80.65,74,20,18.41,CK,1701299511
46,boca do acre,-8.7522,-67.3978,74.01,98,97,2.62,BR,1701299511
47,hamilton,39.1834,-84.5333,42.64,63,0,8.05,US,1701299465
48,ytrebygda,60.305,5.2824,31.32,67,0,4.61,NO,1701299512
49,siwa oasis,29.2041,25.5195,58.62,47,94,3.22,EG,1701299512
50,severo-yeniseyskiy,60.3725,93.0408,13.57,98,100,1.99,RU,1701299512
51,lompoc,34.6391,-120.4579,66.02,72,75,5.75,US,1701299513
52,kapuskasing,49.4169,-82.4331,28.49,93,100,5.75,CA,1701299513
53,coquimbo,-29.9533,-71.3436,62.55,76,8,5.59,CL,1701299513
54,choyr,46.3611,108.3611,-4.95,90,62,6.93,MN,1701299513
55,kiunga,-6.1219,141.2906,80.31,89,89,0.96,PG,1701299513
56,constantia,44.1833,28.65,38.08,74,54,14.18,RO,1701299514
57,rochester,43.1548,-77.6156,32.7,65,100,9.22,US,1701299468
58,punta arenas,-53.15,-70.9167,48.11,49,96,11.45,CL,1701299514
59,isangel,-19.55,169.2667,81.54,72,30,5.86,VU,1701299514
60,uturoa,-16.7333,-151.4333,80.37,82,97,18.21,PF,1701299515
61,lihue,21.9789,-159.3672,77.36,80,40,8.05,US,1701299515
62,lebu,-37.6167,-73.65,56.16,83,0,14.61,CL,1701299515
63,badger,64.8,-147.5333,16.05,88,75,4.61,US,1701299515
64,ribeira grande,38.5167,-28.7,60.78,86,99,28.99,PT,1701299516
65,pocone,-16.2567,-56.6228,89.49,37,85,1.83,BR,1701299516
66,thompson,55.7435,-97.8558,-0.24,85,75,5.75,CA,1701299516
67,invercargill,-46.4,168.35,54.01,73,100,14.0,NZ,1701299516
68,zhangjiajie,29.1294,110.4783,47.91,55,100,4.16,CN,1701299517
69,vilyuchinsk,52.9306,158.4028,21.47,84,100,9.86,RU,1701299517
70,puerto natales,-51.7236,-72.4875,46.85,81,100,12.66,CL,1701299517
71,polyarnyy,69.1989,33.4478,29.59,84,99,13.29,RU,1701299518
72,wailua homesteads,22.0669,-159.378,76.75,81,40,8.05,US,1701299519
73,leua,48.2156,18.6071,32.5,81,82,3.78,SK,1701299453
74,camargo,27.6667,-105.1667,72.43,21,100,4.23,MX,1701299519
75,penonome,8.5167,-80.3667,77.47,81,100,8.01,PA,1701299519
76,cruzeiro do sul,-29.5128,-51.9853,79.09,82,13,2.21,BR,1701299521
77,flying fish cove,-10.4217,105.6791,76.68,83,75,8.05,CX,1701299521
78,merizo village,13.2658,144.6691,85.73,83,9,20.0,GU,1701299522
79,bethel,41.3712,-73.414,33.89,54,0,8.05,US,1701299522
80,montfort-sur-meu,48.1333,-1.9667,42.69,93,100,3.44,FR,1701299522
81,la passe,45.5549,-0.8967,43.03,95,100,12.1,FR,1701299523
82,fortuna,40.5982,-124.1573,59.94,64,0,4.61,US,1701299523
83,bairnsdale,-37.8333,147.6167,59.05,99,100,8.01,AU,1701299524
84,kharp,66.8014,65.8081,17.01,96,100,5.1,RU,1701299525
85,olyokminsk,60.3736,120.4264,7.02,79,100,13.42,RU,1701299526
86,klyuchi,52.2667,79.1667,35.04,60,99,12.35,RU,1701299526
87,gorontalo,0.5412,123.0595,78.71,87,94,2.08,ID,1701299527
88,northam,51.0333,-4.2167,38.39,91,77,13.29,GB,1701299527
89,nikolayevsk-on-amure,53.1406,140.73,-0.92,91,32,5.68,RU,1701299412
90,bertram,30.7438,-98.0556,60.67,68,100,3.44,US,1701299528
91,moree,-29.4667,149.85,75.9,46,1,15.01,AU,1701299528
92,xinyuan,37.3,99.0,14.0,54,12,6.67,CN,1701299528
93,tecumseh,42.0039,-83.9449,33.71,75,0,4.61,US,1701299529
94,dondo,-19.6094,34.7431,71.11,86,84,13.35,MZ,1701299529
95,anadyr,64.75,177.4833,27.1,86,75,13.42,RU,1701299529
96,udachny,66.4167,112.4,10.45,84,100,30.74,RU,1701299530
97,yangquan,37.8575,113.5633,23.5,32,0,8.97,CN,1701299530
98,tiksi,71.6872,128.8694,-0.72,90,100,25.7,RU,1701299531
99,burutu,5.3509,5.5076,78.78,87,100,5.35,NG,1701299302
100,college,64.8569,-147.8028,16.12,83,75,4.61,US,1701299380
101,newman,37.3138,-121.0208,63.28,39,37,5.01,US,1701299380
102,padang,-0.9492,100.3543,77.05,90,100,2.24,ID,1701299498
103,turuvekere,13.1642,76.6667,66.04,97,100,5.79,IN,1701299532
104,ugoofaaru,5.6667,73.0,81.7,76,81,2.48,MV,1701299532
105,stephenville,32.2207,-98.2023,62.24,52,0,9.22,US,1701299533
106,fort bragg,35.139,-79.006,44.44,45,0,5.75,US,1701299533
107,huilong,31.8111,121.655,46.0,63,68,14.12,CN,1701299533
108,fuyuan,46.4333,127.0833,-4.45,95,83,6.71,CN,1701299534
109,hithadhoo,-0.6,73.0833,81.5,78,79,10.92,MV,1701299534
110,mujiayingzi,42.1167,118.7833,8.64,51,0,7.76,CN,1701299534
111,san antonio de pale,-1.4014,5.6325,80.55,82,21,8.1,GQ,1701299534
112,woolgoolga,-30.1106,153.2007,83.05,49,7,9.06,AU,1701299535
113,carnarvon,-24.8667,113.6333,71.26,69,4,14.9,AU,1701299535
114,naze,28.3667,129.4833,64.08,67,72,5.23,JP,1701299535
115,bilibino,68.0546,166.4372,-30.91,98,16,3.4,RU,1701299535
